ROW_ID,ESTABLISHMENT_ID,INSPECTION_ID,ESTABLISHMENT_NAME,REVIEW,VALUE,CUISINE_TYPE,ESTABLISHMENT_TYPE,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_STATUS,MINIMUM_INSPECTIONS_PERYEAR,INFRACTION_DETAILS,INSPECTION_DATE,SEVERITY,ACTION,COURT_OUTCOME,AMOUNT_FINED
13,1223056,103769936,PIZZA PIZZA,3,2,European,Restaurant,606 BROWNS LINE,Pass,2,NULL,13-07-2016,NULL,NULL,NULL,NULL
14,1223056,103888059,PIZZA PIZZA,3,2,European,Restaurant,606 BROWNS LINE,Pass,2,NULL,10-01-2017,NULL,NULL,NULL,NULL
17,9000004,103449612,PAPINO'S PIZZA,4,1,European,Food Take Out,1788 JANE ST,Pass,2,FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C),18-03-2015,S - Significant,Corrected During Inspection,NULL,NULL
18,9000004,103449612,PAPINO'S PIZZA,4,1,European,Food Take Out,1788 JANE ST,Pass,2,Operator fail to ensure equipment surface washed as necessary O. Reg  562/90 Sec. 59(g),18-03-2015,M - Minor,Notice to Comply,NULL,NULL
19,9000004,103531075,PAPINO'S PIZZA,4,1,European,Food Take Out,1788 JANE ST,Pass,2,NULL,15-07-2015,NULL,NULL,NULL,NULL
20,9000004,103718836,PAPINO'S PIZZA,4,1,European,Food Take Out,1788 JANE ST,Pass,2,Operator fail to properly wash surfaces in rooms,28-04-2016,M - Minor,Notice to Comply,NULL,NULL
21,9000004,103802502,PAPINO'S PIZZA,4,1,European,Food Take Out,1788 JANE ST,Pass,2,NULL,26-08-2016,NULL,NULL,NULL,NULL
22,9000026,103495689,2-4-1 PIZZA,2.5,2,European,Food Take Out,2372 EGLINTON AVE E,Pass,2,NULL,21-05-2015,NULL,NULL,NULL,NULL
23,9000026,103587147,2-4-1 PIZZA,2.5,2,European,Food Take Out,2372 EGLINTON AVE E,Pass,2,"OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH CLOTH ROLLER TOWEL, PAPER TOWELS, SINGLE SERVICE TOWELS OR DRYER O. REG  562/90 SEC. 68(3)(E)",13-10-2015,S - Significant,Corrected During Inspection,NULL,NULL
24,9000026,103587147,2-4-1 PIZZA,2.5,2,European,Food Take Out,2372 EGLINTON AVE E,Pass,2,OPERATOR FAIL TO ENSURE COVER WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II),13-10-2015,S - Significant,Corrected During Inspection,NULL,NULL
25,9000026,103731831,2-4-1 PIZZA,2.5,2,European,Food Take Out,2372 EGLINTON AVE E,Pass,2,NULL,18-05-2016,NULL,NULL,NULL,NULL
26,9000026,103816910,2-4-1 PIZZA,2.5,2,European,Food Take Out,2372 EGLINTON AVE E,Pass,2,NULL,21-09-2016,NULL,NULL,NULL,NULL
27,9000029,103456325,2-4-1 PIZZA,2.5,2,European,Food Take Out,2548 EGLINTON AVE W,Pass,2,Food handler fail to wear headgear,30-03-2015,M - Minor,Notice to Comply,NULL,NULL
28,9000029,103633225,2-4-1 PIZZA,2.5,2,European,Food Take Out,2548 EGLINTON AVE W,Pass,2,NULL,22-12-2015,NULL,NULL,NULL,NULL
29,9000029,103752798,2-4-1 PIZZA,2.5,2,European,Food Take Out,2548 EGLINTON AVE W,Pass,2,NULL,16-06-2016,NULL,NULL,NULL,NULL
30,9000031,103484365,2-4-1 PIZZA,2.5,2,European,Food Take Out,759 JANE ST,Conditional Pass,2,Employee fail to wash hands when required,07-05-2015,C - Crucial,Notice to Comply,NULL,NULL
31,9000031,103484366,2-4-1 PIZZA,2.5,2,European,Food Take Out,759 JANE ST,Pass,2,NULL,08-05-2015,NULL,NULL,NULL,NULL
32,9000031,103761458,2-4-1 PIZZA,2.5,2,European,Food Take Out,759 JANE ST,Pass,2,NULL,29-06-2016,NULL,NULL,NULL,NULL
33,9000031,103836863,2-4-1 PIZZA,2.5,2,European,Food Take Out,759 JANE ST,Pass,2,NULL,24-10-2016,NULL,NULL,NULL,NULL
34,9000046,103477255,2-4-1 PIZZA,2.5,2,European,Food Take Out,1468 QUEEN ST W,Pass,2,Operator fail to provide proper equipment,29-04-2015,M - Minor,Notice to Comply,NULL,NULL
35,9000046,103602581,2-4-1 PIZZA,2.5,2,European,Food Take Out,1468 QUEEN ST W,Pass,2,NULL,24-11-2015,NULL,NULL,NULL,NULL
36,9000046,103758468,2-4-1 PIZZA,2.5,2,European,Food Take Out,1468 QUEEN ST W,Pass,2,Operator fail to properly maintain rooms,27-06-2016,M - Minor,Notice to Comply,NULL,NULL
37,9000046,103758468,2-4-1 PIZZA,2.5,2,European,Food Take Out,1468 QUEEN ST W,Pass,2,Operator fail to properly wash surfaces in rooms,27-06-2016,M - Minor,Notice to Comply,NULL,NULL
38,9000046,103758468,2-4-1 PIZZA,2.5,2,European,Food Take Out,1468 QUEEN ST W,Pass,2,PROVIDE THERMOMETER NOT EASILY READABLE IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21,27-06-2016,S - Significant,Corrected During Inspection,NULL,NULL
56,9000109,103730017,BRASS TAPS PIZZA PUB,3,2,Bar,Restaurant,493 DANFORTH AVE,Pass,2,Fail to produce valid food handler's certificate - Muncipal Code Chapter 545 Sec. 5G(17)(c),16-05-2016,NA - Not Applicable,Notice to Comply,NULL,NULL
57,9000109,103730017,BRASS TAPS PIZZA PUB,3,2,Bar,Restaurant,493 DANFORTH AVE,Pass,2,Operator fail to properly maintain equipment(NON-FOOD),16-05-2016,M - Minor,Notice to Comply,NULL,NULL
58,9000109,103730017,BRASS TAPS PIZZA PUB,3,2,Bar,Restaurant,493 DANFORTH AVE,Pass,2,Operator fail to properly maintain rooms,16-05-2016,M - Minor,Notice to Comply,NULL,NULL
59,9000109,103730017,BRASS TAPS PIZZA PUB,3,2,Bar,Restaurant,493 DANFORTH AVE,Pass,2,Operator fail to properly wash equipment,16-05-2016,M - Minor,Notice to Comply,NULL,NULL
60,9000109,103730017,BRASS TAPS PIZZA PUB,3,2,Bar,Restaurant,493 DANFORTH AVE,Pass,2,Operator fail to properly wash surfaces in rooms,16-05-2016,M - Minor,Notice to Comply,NULL,NULL
61,9000116,103648866,521 CAFE,2,2,Cafe,Restaurant,521 DANFORTH AVE,Pass,1,Operator fail to properly maintain rooms,11-01-2016,M - Minor,Notice to Comply,NULL,NULL
66,9000144,103453256,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,NULL,25-03-2015,NULL,NULL,NULL,NULL
67,9000144,103531214,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,Operator fail to properly maintain equipment(NON-FOOD),14-07-2015,M - Minor,Notice to Comply,NULL,NULL
68,9000144,103585372,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,Operator fail to properly maintain equipment(NON-FOOD),05-10-2015,M - Minor,Notice to Comply,NULL,NULL
69,9000144,103660542,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,Operate food premise - fail to provide sign indicating sex for which sanitary facility intended O. Reg  562/90 Sec. 68(2)(a),27-01-2016,M - Minor,Notice to Comply,NULL,NULL
70,9000144,103660542,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,Operator fail to properly maintain rooms,27-01-2016,M - Minor,Notice to Comply,NULL,NULL
71,9000144,103660542,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,Operator fail to properly wash surfaces in rooms,27-01-2016,M - Minor,Notice to Comply,NULL,NULL
72,9000144,103660542,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,STORE UTENSILS IN MANNER NOT PREVENTING CONTAMINATION O. REG  562/90 SEC. 81,27-01-2016,S - Significant,Corrected During Inspection,NULL,NULL
73,9000144,103660542,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,USE BASIN FOR HAND WASHING OF PERSONS OTHER THAN EMPLOYEES O. REG  562/90 SEC. 20(2),27-01-2016,S - Significant,Corrected During Inspection,NULL,NULL
74,9000144,103735501,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,Operator fail to properly maintain rooms,25-05-2016,M - Minor,Notice to Comply,NULL,NULL
75,9000144,103833553,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Conditional Pass,3,Operator fail to properly maintain mechanical washer,20-10-2016,S - Significant,Notice to Comply,NULL,NULL
76,9000144,103833553,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Conditional Pass,3,Operator fail to properly wash surfaces in rooms,20-10-2016,M - Minor,Notice to Comply,NULL,NULL
77,9000144,103833553,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Conditional Pass,3,Operator fail to provide separate handwashing sink(s),20-10-2016,S - Significant,Notice to Comply,NULL,NULL
78,9000144,103835194,7 WEST CAFE,4,2,Cafe,Restaurant,7 CHARLES ST W,Pass,3,NULL,21-10-2016,NULL,NULL,NULL,NULL
87,9000198,103418642,A & W,3,1,North American,Food Court Vendor,250 THE EAST MALL,Pass,2,NULL,28-01-2015,NULL,NULL,NULL,NULL
88,9000198,103553050,A & W,3,1,North American,Food Court Vendor,250 THE EAST MALL,Pass,2,NULL,18-08-2015,NULL,NULL,NULL,NULL
89,9000198,103604109,A & W,3,1,North American,Food Court Vendor,250 THE EAST MALL,Pass,2,Operator fail to properly wash surfaces in rooms,05-11-2015,M - Minor,Notice to Comply,NULL,NULL
90,9000198,103604109,A & W,3,1,North American,Food Court Vendor,250 THE EAST MALL,Pass,2,Operator fail to provide proper equipment,05-11-2015,M - Minor,Notice to Comply,NULL,NULL
91,9000198,103770539,A & W,3,1,North American,Food Court Vendor,250 THE EAST MALL,Pass,2,NULL,15-06-2016,NULL,NULL,NULL,NULL
92,9000198,103874742,A & W,3,1,North American,Food Court Vendor,250 THE EAST MALL,Pass,2,NULL,29-12-2016,NULL,NULL,NULL,NULL
93,9000200,103432642,A & W,3,1,North American,Restaurant,2300 YONGE ST,Pass,2,Operator fail to properly wash equipment,20-02-2015,M - Minor,Notice to Comply,NULL,NULL
94,9000200,103519161,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to properly maintain rooms,25-06-2015,M - Minor,Notice to Comply,NULL,NULL
95,9000200,103519161,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to properly wash surfaces in rooms,25-06-2015,M - Minor,Notice to Comply,NULL,NULL
96,9000200,103519161,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to provide adequate pest control,25-06-2015,S - Significant,Notice to Comply,NULL,NULL
97,9000200,103519162,A & W,3,1,North American,Restaurant,2300 YONGE ST,Pass,2,NULL,26-06-2015,NULL,NULL,NULL,NULL
98,9000200,103627591,A & W,3,1,North American,Restaurant,2300 YONGE ST,Pass,2,Operator fail to properly wash equipment,12-12-2015,M - Minor,Notice to Comply,NULL,NULL
99,9000200,103731771,A & W,3,1,North American,Restaurant,2300 YONGE ST,Pass,2,Operator fail to properly maintain rooms,18-05-2016,M - Minor,Notice to Comply,NULL,NULL
100,9000200,103731771,A & W,3,1,North American,Restaurant,2300 YONGE ST,Pass,2,Operator fail to properly wash surfaces in rooms,18-05-2016,M - Minor,Notice to Comply,NULL,NULL
101,9000200,103788406,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to properly maintain rooms,03-08-2016,M - Minor,Notice to Comply,NULL,NULL
102,9000200,103788406,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to properly wash surfaces in rooms,03-08-2016,M - Minor,Notice to Comply,NULL,NULL
103,9000200,103788406,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to provide adequate pest control,03-08-2016,S - Significant,Notice to Comply,NULL,NULL
104,9000200,103788407,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to properly maintain rooms,05-08-2016,M - Minor,Notice to Comply,NULL,NULL
105,9000200,103788407,A & W,3,1,North American,Restaurant,2300 YONGE ST,Conditional Pass,2,Operator fail to provide adequate pest control,05-08-2016,S - Significant,Notice to Comply,NULL,NULL
106,9000200,103789290,A & W,3,1,North American,Restaurant,2300 YONGE ST,Pass,2,NULL,08-08-2016,NULL,NULL,NULL,NULL
107,9000214,103440928,A.C.C. P-303 - TIM HORTONS,3,1,Cafe,Food Take Out,40 BAY ST,Pass,1,NULL,04-03-2015,NULL,NULL,NULL,NULL
108,9000214,103609583,A.C.C. P-303 - TIM HORTONS,3,1,Cafe,Food Take Out,40 BAY ST,Pass,1,NULL,13-11-2015,NULL,NULL,NULL,NULL
109,9000214,103707554,A.C.C. P-303 - TIM HORTONS,3,1,Cafe,Food Take Out,40 BAY ST,Pass,1,NULL,12-04-2016,NULL,NULL,NULL,NULL
113,9000239,103498781,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,Operator fail to properly maintain rooms,29-05-2015,M - Minor,Notice to Comply,NULL,NULL
114,9000239,103498781,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,Operator fail to properly wash equipment,29-05-2015,M - Minor,Notice to Comply,NULL,NULL
115,9000239,103604801,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,NULL,06-11-2015,NULL,NULL,NULL,NULL
116,9000239,103689822,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,NULL,14-03-2016,NULL,NULL,NULL,NULL
117,9000239,103726541,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,Operator fail to properly maintain rooms,11-05-2016,M - Minor,Notice to Comply,NULL,NULL
118,9000239,103726541,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,Operator fail to properly wash equipment,11-05-2016,M - Minor,Notice to Comply,NULL,NULL
119,9000239,103845455,A.C. RANCH CAFFE,3.5,1,Cafe,Restaurant,1220 ST CLAIR AVE W,Pass,2,Operator fail to properly wash equipment,07-11-2016,M - Minor,Notice to Comply,NULL,NULL
149,9000265,103460321,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Conditional Pass,3,FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C),07-04-2015,S - Significant,Corrected During Inspection,NULL,NULL
150,9000265,103460321,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Conditional Pass,3,Operator fail to provide adequate pest control,07-04-2015,S - Significant,Notice to Comply,NULL,NULL
151,9000265,103460323,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,NULL,15-04-2015,NULL,NULL,NULL,NULL
152,9000265,103525304,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,NULL,03-07-2015,NULL,NULL,NULL,NULL
153,9000265,103605970,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,Operator fail to properly wash surfaces in rooms,09-11-2015,M - Minor,Notice to Comply,NULL,NULL
154,9000265,103701461,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,Operator fail to provide proper equipment,04-04-2016,M - Minor,Notice to Comply,NULL,NULL
155,9000265,103776046,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,Operator fail to properly maintain rooms,22-07-2016,M - Minor,Notice to Comply,NULL,NULL
156,9000265,103776046,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,Operator fail to provide proper equipment,22-07-2016,M - Minor,Notice to Comply,NULL,NULL
157,9000265,103861898,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Conditional Pass,3,Operator fail to properly maintain rooms,06-12-2016,M - Minor,Notice to Comply,NULL,NULL
158,9000265,103861898,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Conditional Pass,3,Operator fail to provide adequate pest control,06-12-2016,S - Significant,Notice to Comply,NULL,NULL
159,9000265,103861898,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Conditional Pass,3,Operator fail to use proper procedure(s) to ensure food safety,06-12-2016,S - Significant,Notice to Comply,NULL,NULL
160,9000265,103862000,ABC BAKERY AND COFFEE,3,1,Cafe,Restaurant,3618 VICTORIA PARK AVE,Pass,3,NULL,13-12-2016,NULL,NULL,NULL,NULL
168,9000287,103506823,ACE BAKERY,3.5,2,Deli,Bake Shop,1 HAFIS RD,Pass,1,NULL,09-06-2015,NULL,NULL,NULL,NULL
177,9000320,103462715,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,OPERATE FOOD PREMISE - FAIL TO EQUIP FACILITY WITH WASTE RECEPTACLE O. REG  562/90 SEC. 68(3)(D),07-04-2015,S - Significant,Corrected During Inspection,NULL,NULL
178,9000320,103560926,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,NULL,27-08-2015,NULL,NULL,NULL,NULL
179,9000320,103619199,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C),10-12-2015,S - Significant,Corrected During Inspection,NULL,NULL
180,9000320,103680660,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,Operator fail to properly maintain rooms,29-02-2016,M - Minor,Notice to Comply,NULL,NULL
181,9000320,103680660,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,Operator fail to properly wash equipment,29-02-2016,M - Minor,Notice to Comply,NULL,NULL
182,9000320,103680660,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,Operator fail to properly wash surfaces in rooms,29-02-2016,M - Minor,Notice to Comply,NULL,NULL
183,9000320,103730908,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21,17-05-2016,S - Significant,Corrected During Inspection,NULL,NULL
184,9000320,103730908,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,FAIL TO PROVIDE TOWELS IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C),17-05-2016,S - Significant,Corrected During Inspection,NULL,NULL
185,9000320,103730908,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,OPERATOR FAIL TO ENSURE CAP WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II),17-05-2016,S - Significant,Corrected During Inspection,NULL,NULL
186,9000320,103730908,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,OPERATOR FAIL TO ENSURE WRAPPING WILL PREVENT CONTAMINATION OR ADULTERATION O. REG  562/90 SEC. 59(C)(II),17-05-2016,S - Significant,Corrected During Inspection,NULL,NULL
187,9000320,103730908,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,Operator fail to properly wash surfaces in rooms,17-05-2016,M - Minor,Notice to Comply,NULL,NULL
188,9000320,103812775,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21,14-09-2016,S - Significant,Corrected During Inspection,NULL,NULL
189,9000320,103812775,ADEGA RESTAURANT,4.3,3,European,Restaurant,33 ELM ST,Pass,3,Operator fail to properly wash surfaces in rooms,14-09-2016,M - Minor,Notice to Comply,NULL,NULL
209,9000361,103475215,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Pass,2,NULL,30-03-2015,NULL,NULL,NULL,NULL
210,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Fail to ensure the presence of the holder of a valid food handler's certificate  -  Muncipal Code Chapter 545 Sec. 5G(17)(a),27-04-2016,NA - Not Applicable,Notice to Comply,NULL,NULL
211,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to maintain hazardous food(s) at 4C (40F) or colder.,27-04-2016,C - Crucial,Notice to Comply,NULL,NULL
212,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly maintain rooms,27-04-2016,M - Minor,Notice to Comply,NULL,NULL
213,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly store solid waste,27-04-2016,S - Significant,Notice to Comply,NULL,NULL
214,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly wash equipment,27-04-2016,M - Minor,Notice to Comply,NULL,NULL
215,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly wash surfaces in rooms,27-04-2016,M - Minor,Notice to Comply,NULL,NULL
216,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to provide proper equipment,27-04-2016,M - Minor,Notice to Comply,NULL,NULL
217,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to provide separate handwashing sink(s),27-04-2016,S - Significant,Notice to Comply,NULL,NULL
218,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to provide washroom supplies,27-04-2016,S - Significant,Notice to Comply,NULL,NULL
219,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to use proper procedure(s) to ensure food safety,27-04-2016,S - Significant,Notice to Comply,NULL,NULL
220,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to use proper utensils to ensure food safety,27-04-2016,S - Significant,Notice to Comply,NULL,NULL
221,9000361,103718148,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator must ensure that the eating or drinking establishment license is continually posted adjacent to the food safety inspection notice. Muncipal Code Chapter 545 Sec. 5G(4),27-04-2016,NA - Not Applicable,Notice to Comply,NULL,NULL
222,9000361,103718284,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Pass,2,NULL,29-04-2016,NULL,NULL,NULL,NULL
223,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,FAIL TO PROVIDE THERMOMETER IN STORAGE COMPARTMENT O. REG  562/90 SEC. 21,08-11-2016,S - Significant,Notice to Comply,NULL,NULL
224,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Fail to ensure the presence of the holder of a valid food handler's certificate  -  Muncipal Code Chapter 545 Sec. 5G(17)(a),08-11-2016,NA - Not Applicable,Notice to Comply,NULL,NULL
225,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly maintain rooms,08-11-2016,M - Minor,Notice to Comply,NULL,NULL
226,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly wash equipment,08-11-2016,M - Minor,Notice to Comply,NULL,NULL
227,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly wash multi-use utensils,08-11-2016,S - Significant,Notice to Comply,NULL,NULL
228,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to properly wash surfaces in rooms,08-11-2016,M - Minor,Notice to Comply,NULL,NULL
229,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to provide required supplies at sinks,08-11-2016,S - Significant,Notice to Comply,NULL,NULL
230,9000361,103846326,AHMUTHA SURABI,5,NULL,South Asian,Food Take Out,2847 LAWRENCE AVE E,Conditional Pass,2,Operator fail to provide washroom supplies,08-11-2016,S - Significant,Notice to Comply,NULL,NULL
