"","ESTABLISHMENT_ID","INSPECTION_ID","ESTABLISHMENT_NAME","REVIEW","VALUE","CUISINE_TYPE","ESTABLISHMENT_TYPE","ESTABLISHMENT_STATUS","MINIMUM_INSPECTIONS_PERYEAR","INSPECTION_DATE","SEVERITY","ACTION","SHORT_ADDRESS","DISTRICT","CITY","POSTAL_CODE"
"30",9000046,103477255,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"29-04-2015","M - Minor","Notice to Comply","1468 QUEEN ST W","METRO TORONTO","TORONTO","M6K 1M4"
"31",9000046,103602581,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"24-11-2015","NA - Not Applicable","No Action Required","1468 QUEEN ST W","METRO TORONTO","TORONTO","M6K 1M4"
"32",9000046,103758468,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"27-06-2016","M - Minor","Notice to Comply","1468 QUEEN ST W","METRO TORONTO","TORONTO","M6K 1M4"
"33",9000046,103758468,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"27-06-2016","M - Minor","Notice to Comply","1468 QUEEN ST W","METRO TORONTO","TORONTO","M6K 1M4"
"34",9000046,103758468,"2-4-1 PIZZA",2.5,2,"European","Food Take Out","Pass",2,"27-06-2016","S - Significant","Corrected During Inspection","1468 QUEEN ST W","METRO TORONTO","TORONTO","M6K 1M4"
"35",9000109,103730017,"BRASS TAPS PIZZA PUB",3,2,"Bar","Restaurant","Pass",2,"16-05-2016","NA - Not Applicable","Notice to Comply","493 DANFORTH AVE","METRO TORONTO","TORONTO","M4K 1P5"
"36",9000109,103730017,"BRASS TAPS PIZZA PUB",3,2,"Bar","Restaurant","Pass",2,"16-05-2016","M - Minor","Notice to Comply","493 DANFORTH AVE","METRO TORONTO","TORONTO","M4K 1P5"
"37",9000109,103730017,"BRASS TAPS PIZZA PUB",3,2,"Bar","Restaurant","Pass",2,"16-05-2016","M - Minor","Notice to Comply","493 DANFORTH AVE","METRO TORONTO","TORONTO","M4K 1P5"
"38",9000109,103730017,"BRASS TAPS PIZZA PUB",3,2,"Bar","Restaurant","Pass",2,"16-05-2016","M - Minor","Notice to Comply","493 DANFORTH AVE","METRO TORONTO","TORONTO","M4K 1P5"
"39",9000109,103730017,"BRASS TAPS PIZZA PUB",3,2,"Bar","Restaurant","Pass",2,"16-05-2016","M - Minor","Notice to Comply","493 DANFORTH AVE","METRO TORONTO","TORONTO","M4K 1P5"
"40",9000116,103648866,"521 CAFE",2,2,"Cafe","Restaurant","Pass",1,"11-01-2016","M - Minor","Notice to Comply","521 DANFORTH AVE","METRO TORONTO","TORONTO","M4K 1P7"
"41",9000144,103453256,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"25-03-2015","NA - Not Applicable","No Action Required","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"42",9000144,103531214,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"14-07-2015","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"43",9000144,103585372,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"05-10-2015","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"44",9000144,103660542,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"27-01-2016","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"45",9000144,103660542,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"27-01-2016","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"46",9000144,103660542,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"27-01-2016","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"47",9000144,103660542,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"27-01-2016","S - Significant","Corrected During Inspection","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"48",9000144,103660542,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"27-01-2016","S - Significant","Corrected During Inspection","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"49",9000144,103735501,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"25-05-2016","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"50",9000144,103833553,"7 WEST CAFE",4,2,"Cafe","Restaurant","Conditional Pass",3,"20-10-2016","S - Significant","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"51",9000144,103833553,"7 WEST CAFE",4,2,"Cafe","Restaurant","Conditional Pass",3,"20-10-2016","M - Minor","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"52",9000144,103833553,"7 WEST CAFE",4,2,"Cafe","Restaurant","Conditional Pass",3,"20-10-2016","S - Significant","Notice to Comply","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"53",9000144,103835194,"7 WEST CAFE",4,2,"Cafe","Restaurant","Pass",3,"21-10-2016","NA - Not Applicable","No Action Required","7 CHARLES ST W","METRO TORONTO","TORONTO","M4Y 1R4"
"54",9000198,103418642,"A & W",3,1,"North American","Food Court Vendor","Pass",2,"28-01-2015","NA - Not Applicable","No Action Required","250 THE EAST MALL","ETOBICOKE","TORONTO","M9B 3Y8"
"55",9000198,103553050,"A & W",3,1,"North American","Food Court Vendor","Pass",2,"18-08-2015","NA - Not Applicable","No Action Required","250 THE EAST MALL","ETOBICOKE","TORONTO","M9B 3Y8"
"56",9000198,103604109,"A & W",3,1,"North American","Food Court Vendor","Pass",2,"05-11-2015","M - Minor","Notice to Comply","250 THE EAST MALL","ETOBICOKE","TORONTO","M9B 3Y8"
"57",9000198,103604109,"A & W",3,1,"North American","Food Court Vendor","Pass",2,"05-11-2015","M - Minor","Notice to Comply","250 THE EAST MALL","ETOBICOKE","TORONTO","M9B 3Y8"
"58",9000198,103770539,"A & W",3,1,"North American","Food Court Vendor","Pass",2,"15-06-2016","NA - Not Applicable","No Action Required","250 THE EAST MALL","ETOBICOKE","TORONTO","M9B 3Y8"
"59",9000198,103874742,"A & W",3,1,"North American","Food Court Vendor","Pass",2,"29-12-2016","NA - Not Applicable","No Action Required","250 THE EAST MALL","ETOBICOKE","TORONTO","M9B 3Y8"
"60",9000200,103432642,"A & W",3,1,"North American","Restaurant","Pass",2,"20-02-2015","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"61",9000200,103519161,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"25-06-2015","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"62",9000200,103519161,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"25-06-2015","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"63",9000200,103519161,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"25-06-2015","S - Significant","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"64",9000200,103519162,"A & W",3,1,"North American","Restaurant","Pass",2,"26-06-2015","NA - Not Applicable","No Action Required","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"65",9000200,103627591,"A & W",3,1,"North American","Restaurant","Pass",2,"12-12-2015","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"66",9000200,103731771,"A & W",3,1,"North American","Restaurant","Pass",2,"18-05-2016","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"67",9000200,103731771,"A & W",3,1,"North American","Restaurant","Pass",2,"18-05-2016","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"68",9000200,103788406,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"03-08-2016","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"69",9000200,103788406,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"03-08-2016","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"70",9000200,103788406,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"03-08-2016","S - Significant","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"71",9000200,103788407,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"05-08-2016","M - Minor","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"72",9000200,103788407,"A & W",3,1,"North American","Restaurant","Conditional Pass",2,"05-08-2016","S - Significant","Notice to Comply","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"73",9000200,103789290,"A & W",3,1,"North American","Restaurant","Pass",2,"08-08-2016","NA - Not Applicable","No Action Required","2300 YONGE ST","METRO TORONTO","TORONTO","M4P 1E4"
"74",9000214,103440928,"A.C.C. P-303 - TIM HORTONS",3,1,"Cafe","Food Take Out","Pass",1,"04-03-2015","NA - Not Applicable","No Action Required","40 BAY ST","METRO TORONTO","TORONTO","M5J"
"75",9000214,103609583,"A.C.C. P-303 - TIM HORTONS",3,1,"Cafe","Food Take Out","Pass",1,"13-11-2015","NA - Not Applicable","No Action Required","40 BAY ST","METRO TORONTO","TORONTO","M5J"
"76",9000214,103707554,"A.C.C. P-303 - TIM HORTONS",3,1,"Cafe","Food Take Out","Pass",1,"12-04-2016","NA - Not Applicable","No Action Required","40 BAY ST","METRO TORONTO","TORONTO","M5J"
"77",9000239,103498781,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"29-05-2015","M - Minor","Notice to Comply","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"78",9000239,103498781,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"29-05-2015","M - Minor","Notice to Comply","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"79",9000239,103604801,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"06-11-2015","NA - Not Applicable","No Action Required","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"80",9000239,103689822,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"14-03-2016","NA - Not Applicable","No Action Required","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"81",9000239,103726541,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"11-05-2016","M - Minor","Notice to Comply","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"82",9000239,103726541,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"11-05-2016","M - Minor","Notice to Comply","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"83",9000239,103845455,"A.C. RANCH CAFFE",3.5,1,"Cafe","Restaurant","Pass",2,"07-11-2016","M - Minor","Notice to Comply","1220 ST CLAIR AVE W","METRO TORONTO","TORONTO","M6E 1B4"
"84",9000265,103460321,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Conditional Pass",3,"07-04-2015","S - Significant","Corrected During Inspection","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"85",9000265,103460321,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Conditional Pass",3,"07-04-2015","S - Significant","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"86",9000265,103460323,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"15-04-2015","NA - Not Applicable","No Action Required","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"87",9000265,103525304,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"03-07-2015","NA - Not Applicable","No Action Required","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"88",9000265,103605970,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"09-11-2015","M - Minor","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"89",9000265,103701461,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"04-04-2016","M - Minor","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"90",9000265,103776046,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"22-07-2016","M - Minor","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"91",9000265,103776046,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"22-07-2016","M - Minor","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"92",9000265,103861898,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Conditional Pass",3,"06-12-2016","M - Minor","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"93",9000265,103861898,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Conditional Pass",3,"06-12-2016","S - Significant","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"94",9000265,103861898,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Conditional Pass",3,"06-12-2016","S - Significant","Notice to Comply","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"95",9000265,103862000,"ABC BAKERY AND COFFEE",3,1,"Cafe","Restaurant","Pass",3,"13-12-2016","NA - Not Applicable","No Action Required","3618 VICTORIA PARK AVE","NORTH YORK","TORONTO","M2H 3B2"
"96",9000287,103506823,"ACE BAKERY",3.5,2,"Deli","Bakery","Pass",1,"09-06-2015","NA - Not Applicable","No Action Required","1 HAFIS RD","NORTH YORK","TORONTO","M6M 2V6"
"97",9000320,103462715,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"07-04-2015","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"98",9000320,103560926,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"27-08-2015","NA - Not Applicable","No Action Required","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"99",9000320,103619199,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"10-12-2015","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"100",9000320,103680660,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"29-02-2016","M - Minor","Notice to Comply","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"101",9000320,103680660,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"29-02-2016","M - Minor","Notice to Comply","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"102",9000320,103680660,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"29-02-2016","M - Minor","Notice to Comply","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"103",9000320,103730908,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"17-05-2016","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"104",9000320,103730908,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"17-05-2016","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"105",9000320,103730908,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"17-05-2016","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"106",9000320,103730908,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"17-05-2016","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"107",9000320,103730908,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"17-05-2016","M - Minor","Notice to Comply","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"108",9000320,103812775,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"14-09-2016","S - Significant","Corrected During Inspection","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"109",9000320,103812775,"ADEGA RESTAURANT",4.3,3,"European","Restaurant","Pass",3,"14-09-2016","M - Minor","Notice to Comply","33 ELM ST","METRO TORONTO","TORONTO","M5G 1H1"
"110",9000361,103475215,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Pass",2,"30-03-2015","NA - Not Applicable","No Action Required","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"111",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","NA - Not Applicable","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"112",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","C - Crucial","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"113",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"114",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"115",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"116",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"117",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"118",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"119",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"120",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"121",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"122",9000361,103718148,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"27-04-2016","NA - Not Applicable","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"123",9000361,103718284,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Pass",2,"29-04-2016","NA - Not Applicable","No Action Required","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"124",9000361,103846326,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"08-11-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"125",9000361,103846326,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"08-11-2016","NA - Not Applicable","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"126",9000361,103846326,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"08-11-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"127",9000361,103846326,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"08-11-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"128",9000361,103846326,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"08-11-2016","S - Significant","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
"129",9000361,103846326,"AHMUTHA SURABI",5,1.79699248120301,"South Asian","Food Take Out","Conditional Pass",2,"08-11-2016","M - Minor","Notice to Comply","2847 LAWRENCE AVE E","SCARBOROUGH","TORONTO","M1P"
